Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
148.58644,-32.2577925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178572933.0,1643178572933.0,1643178572933.0,1643178572933.0,1643178572933.0,1643178572933.0,2022-01-26
148.58645,-32.2577275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178572299.0,1643178572299.0,1643178572299.0,1643178572299.0,1643178572299.0,1643178572299.0,2022-01-26
148.58646,-32.2578625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178574859.0,1643178574859.0,1643178574859.0,1643178574859.0,1643178574859.0,1643178574859.0,2022-01-26
148.58648,-32.2578975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178576203.0,1643178576203.0,1643178576203.0,1643178576203.0,1643178576203.0,1643178576203.0,2022-01-26
148.58648,-32.257615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178570054.0,1643178570054.0,1643178570054.0,1643178570054.0,1643178570054.0,1643178570054.0,2022-01-26
148.58652,-32.25751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178569094.0,1643178569094.0,1643178569094.0,1643178569094.0,1643178569094.0,1643178569094.0,2022-01-26
148.58655,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178577095.0,1643178577095.0,1643178577095.0,1643178577095.0,1643178577095.0,1643178577095.0,2022-01-26
148.58656,-32.25737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178568134.0,1643178568134.0,1643178568134.0,1643178568134.0,1643178568134.0,1643178568134.0,2022-01-26
148.5866,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178579014.0,1643178579014.0,1643178579014.0,1643178579014.0,1643178579014.0,1643178579014.0,2022-01-26
148.58661,-32.25721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178565899.0,1643178565899.0,1643178565899.0,1643178565899.0,1643178565899.0,1643178565899.0,2022-01-26
148.58667,-32.25708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178564934.0,1643178564934.0,1643178564934.0,1643178564934.0,1643178564934.0,1643178564934.0,2022-01-26
148.58669,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178579974.0,1643178579974.0,1643178579974.0,1643178579974.0,1643178579974.0,1643178579974.0,2022-01-26
148.58675,-32.2568625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178563329.0,1643178563329.0,1643178563329.0,1643178563329.0,1643178563329.0,1643178563329.0,2022-01-26
148.58676,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178582214.0,1643178582214.0,1643178582214.0,1643178582214.0,1643178582214.0,1643178582214.0,2022-01-26
148.58685,-32.256705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178562058.0,1643178562058.0,1643178562058.0,1643178562058.0,1643178562058.0,1643178562058.0,2022-01-26
148.58686,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178582854.0,1643178582854.0,1643178582854.0,1643178582854.0,1643178582854.0,1643178582854.0,2022-01-26
148.58691,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178583814.0,1643178583814.0,1643178583814.0,1643178583814.0,1643178583814.0,1643178583814.0,2022-01-26
