Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
148.58644,-32.257815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178572985.0,1643178572985.0,1643178572985.0,1643178572985.0,1643178572985.0,1643178572985.0,2022-01-26
148.58645,-32.25775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178572024.0,1643178572024.0,1643178572024.0,1643178572024.0,1643178572024.0,1643178572024.0,2022-01-26
148.58646,-32.2578625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178575229.0,1643178575229.0,1643178575229.0,1643178575229.0,1643178575229.0,1643178575229.0,2022-01-26
148.58647,-32.257645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178571065.0,1643178571065.0,1643178571065.0,1643178571065.0,1643178571065.0,1643178571065.0,2022-01-26
148.5865,-32.2579175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178575975.0,1643178575975.0,1643178575975.0,1643178575975.0,1643178575975.0,1643178575975.0,2022-01-26
148.58651,-32.25753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178569144.0,1643178569144.0,1643178569144.0,1643178569144.0,1643178569144.0,1643178569144.0,2022-01-26
148.58654,-32.25742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178568185.0,1643178568185.0,1643178568185.0,1643178568185.0,1643178568185.0,1643178568185.0,2022-01-26
148.58655,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178578104.0,1643178578104.0,1643178578104.0,1643178578104.0,1643178578104.0,1643178578104.0,2022-01-26
148.58659,-32.2572525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178566081.0,1643178566081.0,1643178566081.0,1643178566081.0,1643178566081.0,1643178566081.0,2022-01-26
148.58661,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178579069.0,1643178579069.0,1643178579069.0,1643178579069.0,1643178579069.0,1643178579069.0,2022-01-26
