Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
148.58644,-32.257815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178572815.0,1643178572815.0,1643178572815.0,1643178572815.0,1643178572815.0,1643178572815.0,2022-01-26
148.58645,-32.25774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178571855.0,1643178571855.0,1643178571855.0,1643178571855.0,1643178571855.0,1643178571855.0,2022-01-26
148.58646,-32.25787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178574735.0,1643178574735.0,1643178574735.0,1643178574735.0,1643178574735.0,1643178574735.0,2022-01-26
148.58647,-32.2576475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178571215.0,1643178571215.0,1643178571215.0,1643178571215.0,1643178571215.0,1643178571215.0,2022-01-26
148.58648,-32.257905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178576015.0,1643178576015.0,1643178576015.0,1643178576015.0,1643178576015.0,1643178576015.0,2022-01-26
148.58651,-32.25752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178568975.0,1643178568975.0,1643178568975.0,1643178568975.0,1643178568975.0,1643178568975.0,2022-01-26
148.58655,-32.25739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178568015.0,1643178568015.0,1643178568015.0,1643178568015.0,1643178568015.0,1643178568015.0,2022-01-26
148.58656,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178577940.0,1643178577940.0,1643178577940.0,1643178577940.0,1643178577940.0,1643178577940.0,2022-01-26
148.5866,-32.25725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178565779.0,1643178565779.0,1643178565779.0,1643178565779.0,1643178565779.0,1643178565779.0,2022-01-26
148.58661,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178578895.0,1643178578895.0,1643178578895.0,1643178578895.0,1643178578895.0,1643178578895.0,2022-01-26
148.58668,-32.2570625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178564950.0,1643178564950.0,1643178564950.0,1643178564950.0,1643178564950.0,1643178564950.0,2022-01-26
148.58669,-32.25792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178580171.0,1643178580171.0,1643178580171.0,1643178580171.0,1643178580171.0,1643178580171.0,2022-01-26
148.58675,-32.256865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178563219.0,1643178563219.0,1643178563219.0,1643178563219.0,1643178563219.0,1643178563219.0,2022-01-26
148.58678,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178581775.0,1643178581775.0,1643178581775.0,1643178581775.0,1643178581775.0,1643178581775.0,2022-01-26
148.58683,-32.256725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178561939.0,1643178561939.0,1643178561939.0,1643178561939.0,1643178561939.0,1643178561939.0,2022-01-26
148.58684,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178583055.0,1643178583055.0,1643178583055.0,1643178583055.0,1643178583055.0,1643178583055.0,2022-01-26
148.58691,-32.25767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179434893.0,1643179434893.0,1643179434893.0,1643179434893.0,1643179434893.0,1643179434893.0,2022-01-26
148.58691,-32.257635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179436811.0,1643179436811.0,1643179436811.0,1643179436811.0,1643179436811.0,1643179436811.0,2022-01-26
148.58691,-32.2575875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179437771.0,1643179437771.0,1643179437771.0,1643179437771.0,1643179437771.0,1643179437771.0,2022-01-26
148.58691,-32.2575525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179439053.0,1643179439053.0,1643179439053.0,1643179439053.0,1643179439053.0,1643179439053.0,2022-01-26
148.58692,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178584975.0,1643178584975.0,1643178584975.0,1643178584975.0,1643178584975.0,1643178584975.0,2022-01-26
148.58692,-32.2577025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179433931.0,1643179433931.0,1643179433931.0,1643179433931.0,1643179433931.0,1643179433931.0,2022-01-26
148.58693,-32.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179441050.0,1643179441050.0,1643179441050.0,1643179441050.0,1643179441050.0,1643179441050.0,2022-01-26
148.58693,-32.256575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178560975.0,1643178560975.0,1643178560975.0,1643178560975.0,1643178560975.0,1643178560975.0,2022-01-26
148.58694,-32.2577225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179432049.0,1643179432049.0,1643179432049.0,1643179432049.0,1643179432049.0,1643179432049.0,2022-01-26
148.58695,-32.25773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179430733.0,1643179430733.0,1643179430733.0,1643179430733.0,1643179430733.0,1643179430733.0,2022-01-26
148.58695,-32.257455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179441931.0,1643179441931.0,1643179441931.0,1643179441931.0,1643179441931.0,1643179441931.0,2022-01-26
148.58698,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178585953.0,1643178585953.0,1643178585953.0,1643178585953.0,1643178585953.0,1643178585953.0,2022-01-26
148.58698,-32.2577375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179429773.0,1643179429773.0,1643179429773.0,1643179429773.0,1643179429773.0,1643179429773.0,2022-01-26
148.587,-32.2573625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643179443851.0,1643179443851.0,1643179443851.0,1643179443851.0,1643179443851.0,1643179443851.0,2022-01-26
148.58702,-32.25791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643178586895.0,1643178586895.0,1643178586895.0,1643178586895.0,1643178586895.0,1643178586895.0,2022-01-26
