Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70604,-34.0556375,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081431285.0,1643081431285.0,1643081431285.0,1643081431285.0,1643081431285.0,1643081431285.0,2022-01-25
150.70604,-34.0556175,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081432309.0,1643081432309.0,1643081432309.0,1643081432309.0,1643081432309.0,1643081432309.0,2022-01-25
150.70604,-34.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081434338.0,1643081434338.0,1643081434338.0,1643081434338.0,1643081434338.0,1643081434338.0,2022-01-25
150.70604,-34.0555725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081435290.0,1643081435290.0,1643081435290.0,1643081435290.0,1643081435290.0,1643081435290.0,2022-01-25
150.70604,-34.055535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081436300.0,1643081436300.0,1643081436300.0,1643081436300.0,1643081436300.0,1643081436300.0,2022-01-25
150.70604,-34.055495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081438320.0,1643081438320.0,1643081438320.0,1643081438320.0,1643081438320.0,1643081438320.0,2022-01-25
150.70605,-34.0556525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081429179.0,1643081429179.0,1643081429179.0,1643081429179.0,1643081429179.0,1643081429179.0,2022-01-25
150.70605,-34.05546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081439280.0,1643081439280.0,1643081439280.0,1643081439280.0,1643081439280.0,1643081439280.0,2022-01-25
150.70605,-34.05543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081441293.0,1643081441293.0,1643081441293.0,1643081441293.0,1643081441293.0,1643081441293.0,2022-01-25
150.70605,-34.0553875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081442340.0,1643081442340.0,1643081442340.0,1643081442340.0,1643081442340.0,1643081442340.0,2022-01-25
