Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70604,-34.0556375,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081431589.0,1643081431589.0,1643081431589.0,1643081431589.0,1643081431589.0,1643081431589.0,2022-01-25
150.70604,-34.055615,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081432469.0,1643081432469.0,1643081432469.0,1643081432469.0,1643081432469.0,1643081432469.0,2022-01-25
150.70604,-34.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081434333.0,1643081434333.0,1643081434333.0,1643081434333.0,1643081434333.0,1643081434333.0,2022-01-25
150.70604,-34.05557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081435589.0,1643081435589.0,1643081435589.0,1643081435589.0,1643081435589.0,1643081435589.0,2022-01-25
150.70604,-34.055535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081436573.0,1643081436573.0,1643081436573.0,1643081436573.0,1643081436573.0,1643081436573.0,2022-01-25
150.70604,-34.05549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081438493.0,1643081438493.0,1643081438493.0,1643081438493.0,1643081438493.0,1643081438493.0,2022-01-25
150.70605,-34.05546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081439453.0,1643081439453.0,1643081439453.0,1643081439453.0,1643081439453.0,1643081439453.0,2022-01-25
150.70605,-34.0554225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081441469.0,1643081441469.0,1643081441469.0,1643081441469.0,1643081441469.0,1643081441469.0,2022-01-25
150.70605,-34.0553875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081442448.0,1643081442448.0,1643081442448.0,1643081442448.0,1643081442448.0,1643081442448.0,2022-01-25
150.70605,-34.0553425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081443381.0,1643081443381.0,1643081443381.0,1643081443381.0,1643081443381.0,1643081443381.0,2022-01-25
150.70606,-34.0556575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081429620.0,1643081429620.0,1643081429620.0,1643081429620.0,1643081429620.0,1643081429620.0,2022-01-25
150.70607,-34.0556725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081428336.0,1643081428336.0,1643081428336.0,1643081428336.0,1643081428336.0,1643081428336.0,2022-01-25
150.70607,-34.055305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081445308.0,1643081445308.0,1643081445308.0,1643081445308.0,1643081445308.0,1643081445308.0,2022-01-25
150.70608,-34.05528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081446443.0,1643081446443.0,1643081446443.0,1643081446443.0,1643081446443.0,1643081446443.0,2022-01-25
150.7061,-34.05569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081427373.0,1643081427373.0,1643081427373.0,1643081427373.0,1643081427373.0,1643081427373.0,2022-01-25
150.70612,-34.0556925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081425564.0,1643081425564.0,1643081425564.0,1643081425564.0,1643081425564.0,1643081425564.0,2022-01-25
150.70612,-34.05525,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081448448.0,1643081448448.0,1643081448448.0,1643081448448.0,1643081448448.0,1643081448448.0,2022-01-25
150.70614,-34.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081449629.0,1643081449629.0,1643081449629.0,1643081449629.0,1643081449629.0,1643081449629.0,2022-01-25
150.70615,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081424535.0,1643081424535.0,1643081424535.0,1643081424535.0,1643081424535.0,1643081424535.0,2022-01-25
150.70616,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081422478.0,1643081422478.0,1643081422478.0,1643081422478.0,1643081422478.0,1643081422478.0,2022-01-25
150.70618,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081421529.0,1643081421529.0,1643081421529.0,1643081421529.0,1643081421529.0,1643081421529.0,2022-01-25
150.70619,-34.0556925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081420573.0,1643081420573.0,1643081420573.0,1643081420573.0,1643081420573.0,1643081420573.0,2022-01-25
150.70619,-34.05569,2.0,41053.0,4046.8947368421054,109.0,2.0,12656.0,6413.473684210527,8778.0,45.0,45.0,19.0,19.0,0.0,0.0,64.0,64.0,1643081331371.0,1643081418649.0,1643081352673.0,1643081354646.0,1643081352673.0,1643081354646.0,2022-01-25
150.70621,-34.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081450475.0,1643081450475.0,1643081450475.0,1643081450475.0,1643081450475.0,1643081450475.0,2022-01-25
150.70624,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081452636.0,1643081452636.0,1643081452636.0,1643081452636.0,1643081452636.0,1643081452636.0,2022-01-25
150.70633,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081453299.0,1643081453299.0,1643081453299.0,1643081453299.0,1643081453299.0,1643081453299.0,2022-01-25
150.70636,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081455463.0,1643081455463.0,1643081455463.0,1643081455463.0,1643081455463.0,1643081455463.0,2022-01-25
150.70643,-34.055215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081456423.0,1643081456423.0,1643081456423.0,1643081456423.0,1643081456423.0,1643081456423.0,2022-01-25
150.70651,-34.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081457453.0,1643081457453.0,1643081457453.0,1643081457453.0,1643081457453.0,1643081457453.0,2022-01-25
150.70657,-34.05519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081459373.0,1643081459373.0,1643081459373.0,1643081459373.0,1643081459373.0,1643081459373.0,2022-01-25
150.70666,-34.05519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081460333.0,1643081460333.0,1643081460333.0,1643081460333.0,1643081460333.0,1643081460333.0,2022-01-25
150.70673,-34.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081462573.0,1643081462573.0,1643081462573.0,1643081462573.0,1643081462573.0,1643081462573.0,2022-01-25
