Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70604,-34.055635,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081431004.0,1643081431004.0,1643081431004.0,1643081431004.0,1643081431004.0,1643081431004.0,2022-01-25
150.70604,-34.055615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081432284.0,1643081432284.0,1643081432284.0,1643081432284.0,1643081432284.0,1643081432284.0,2022-01-25
150.70604,-34.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081434188.0,1643081434188.0,1643081434188.0,1643081434188.0,1643081434188.0,1643081434188.0,2022-01-25
150.70604,-34.0555725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081435164.0,1643081435164.0,1643081435164.0,1643081435164.0,1643081435164.0,1643081435164.0,2022-01-25
150.70604,-34.0555425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081436220.0,1643081436220.0,1643081436220.0,1643081436220.0,1643081436220.0,1643081436220.0,2022-01-25
150.70604,-34.0554925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081438124.0,1643081438124.0,1643081438124.0,1643081438124.0,1643081438124.0,1643081438124.0,2022-01-25
150.70605,-34.05565,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081429164.0,1643081429164.0,1643081429164.0,1643081429164.0,1643081429164.0,1643081429164.0,2022-01-25
150.70605,-34.0554575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081439098.0,1643081439098.0,1643081439098.0,1643081439098.0,1643081439098.0,1643081439098.0,2022-01-25
150.70605,-34.0554275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081441099.0,1643081441099.0,1643081441099.0,1643081441099.0,1643081441099.0,1643081441099.0,2022-01-25
150.70605,-34.0553875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081442108.0,1643081442108.0,1643081442108.0,1643081442108.0,1643081442108.0,1643081442108.0,2022-01-25
150.70605,-34.055345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081443245.0,1643081443245.0,1643081443245.0,1643081443245.0,1643081443245.0,1643081443245.0,2022-01-25
150.70607,-34.0553075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081445259.0,1643081445259.0,1643081445259.0,1643081445259.0,1643081445259.0,1643081445259.0,2022-01-25
150.70608,-34.055275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081446220.0,1643081446220.0,1643081446220.0,1643081446220.0,1643081446220.0,1643081446220.0,2022-01-25
150.70609,-34.05568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081428281.0,1643081428281.0,1643081428281.0,1643081428281.0,1643081428281.0,1643081428281.0,2022-01-25
150.7061,-34.05569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081427213.0,1643081427213.0,1643081427213.0,1643081427213.0,1643081427213.0,1643081427213.0,2022-01-25
150.70612,-34.0556925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081424835.0,1643081424835.0,1643081424835.0,1643081424835.0,1643081424835.0,1643081424835.0,2022-01-25
150.70612,-34.05525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081448308.0,1643081448308.0,1643081448308.0,1643081448308.0,1643081448308.0,1643081448308.0,2022-01-25
150.70614,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081423871.0,1643081423871.0,1643081423871.0,1643081423871.0,1643081423871.0,1643081423871.0,2022-01-25
150.70617,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081422271.0,1643081422271.0,1643081422271.0,1643081422271.0,1643081422271.0,1643081422271.0,2022-01-25
150.70617,-34.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081449253.0,1643081449253.0,1643081449253.0,1643081449253.0,1643081449253.0,1643081449253.0,2022-01-25
150.70618,-34.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081420991.0,1643081420991.0,1643081420991.0,1643081420991.0,1643081420991.0,1643081420991.0,2022-01-25
150.70619,-34.05569,2.0,8977.0,706.2777777777778,299.0,2.0,10616.0,6517.705882352941,8678.0,47.0,48.0,18.0,17.0,0.0,0.0,65.0,65.0,1643081331070.0,1643081420030.0,1643081362324.0,1643081365316.0,1643081362324.0,1643081365316.0,2022-01-25
150.7062,-34.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081450298.0,1643081450298.0,1643081450298.0,1643081450298.0,1643081450298.0,1643081450298.0,2022-01-25
150.70625,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081452298.0,1643081452298.0,1643081452298.0,1643081452298.0,1643081452298.0,1643081452298.0,2022-01-25
150.70632,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081453253.0,1643081453253.0,1643081453253.0,1643081453253.0,1643081453253.0,1643081453253.0,2022-01-25
150.70636,-34.05523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081455298.0,1643081455298.0,1643081455298.0,1643081455298.0,1643081455298.0,1643081455298.0,2022-01-25
150.70644,-34.0552125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081456138.0,1643081456138.0,1643081456138.0,1643081456138.0,1643081456138.0,1643081456138.0,2022-01-25
150.7065,-34.0552025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081457165.0,1643081457165.0,1643081457165.0,1643081457165.0,1643081457165.0,1643081457165.0,2022-01-25
150.7066,-34.05519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081459071.0,1643081459071.0,1643081459071.0,1643081459071.0,1643081459071.0,1643081459071.0,2022-01-25
150.70663,-34.05519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643081460251.0,1643081460251.0,1643081460251.0,1643081460251.0,1643081460251.0,1643081460251.0,2022-01-25
150.70674,-34.0552025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081462108.0,1643081462108.0,1643081462108.0,1643081462108.0,1643081462108.0,1643081462108.0,2022-01-25
150.7068,-34.0552225,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643081463178.0,1643081463178.0,1643081463178.0,1643081463178.0,1643081463178.0,1643081463178.0,2022-01-25
