Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70596,-34.05561,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70597,-34.05561,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70598,-34.05562,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70598,-34.0556175,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70598,-34.05561,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70599,-34.0556275,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70599,-34.05562,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,13,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.706,-34.0556325,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.706,-34.05562,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70601,-34.05564,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70601,-34.05563,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70601,-34.05562,2,51091,16093.47273,99,2,5308,1900.363636,330,199,199,55,55,0,0,254,254,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70602,-34.0556475,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70602,-34.055645,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70604,-34.0556625,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70604,-34.0556525,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70605,-34.0556625,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70605,-34.05566,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70606,-34.055675,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1.6431E+12,1/25/2022
150.70607,-34.0557,2,2,2,2,2,2,2,2,76,76,8,8,0,0,84,84,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1/25/2022
150.70607,-34.05569,2,74324,27319.84615,155,2,8322,3805,414,56,56,26,26,0,0,82,82,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1.64309E+12,1/25/2022
