Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70596,-34.05561,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1643096922188.0,1643096924408.0,1643096922188.0,1643096924408.0,1643096922188.0,1643096924408.0,2022-01-25
150.70597,-34.05561,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1643096926298.0,1643096926298.0,1643096926298.0,1643096926298.0,1643096926298.0,1643096926298.0,2022-01-25
150.70598,-34.05562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1643096540079.0,1643096543019.0,1643096540079.0,1643096540079.0,1643096540079.0,1643096540079.0,2022-01-25
150.70598,-34.0556175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096927258.0,1643096927258.0,1643096927258.0,1643096927258.0,1643096927258.0,1643096927258.0,2022-01-25
150.70598,-34.05561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,1643096533355.0,1643096539168.0,1643096533355.0,1643096533355.0,1643096533355.0,1643096533355.0,2022-01-25
150.70599,-34.0556275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096532116.0,1643096532116.0,1643096532116.0,1643096532116.0,1643096532116.0,1643096532116.0,2022-01-25
150.70599,-34.0556225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096929186.0,1643096929186.0,1643096929186.0,1643096929186.0,1643096929186.0,1643096929186.0,2022-01-25
150.70599,-34.05562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,1643096545196.0,1643096919268.0,1643096545196.0,1643096545196.0,1643096545196.0,1643096545196.0,2022-01-25
150.70599,-34.055615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096920288.0,1643096920288.0,1643096920288.0,1643096920288.0,1643096920288.0,1643096920288.0,2022-01-25
150.706,-34.05563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096930146.0,1643096930146.0,1643096930146.0,1643096930146.0,1643096930146.0,1643096930146.0,2022-01-25
150.706,-34.05562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1643096549029.0,1643096678955.0,1643096549029.0,1643096549029.0,1643096549029.0,1643096549029.0,2022-01-25
150.70601,-34.05564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1643096531110.0,1643096931264.0,1643096531110.0,1643096531110.0,1643096531110.0,1643096531110.0,2022-01-25
150.70601,-34.05562,2.0,36964.0,9382.380952380952,64.0,2.0,3053.0,1042.377049180328,267.0,191.0,193.0,63.0,61.0,0.0,0.0,254.0,254.0,1643096550036.0,1643096917033.0,1643096804413.0,1643096781399.0,1643096804413.0,1643096781399.0,2022-01-25
150.70602,-34.055645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096933256.0,1643096933256.0,1643096933256.0,1643096933256.0,1643096933256.0,1643096933256.0,2022-01-25
150.70603,-34.055655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096529358.0,1643096529358.0,1643096529358.0,1643096529358.0,1643096529358.0,1643096529358.0,2022-01-25
150.70603,-34.05565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096934306.0,1643096934306.0,1643096934306.0,1643096934306.0,1643096934306.0,1643096934306.0,2022-01-25
150.70604,-34.05566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096936366.0,1643096936366.0,1643096936366.0,1643096936366.0,1643096936366.0,1643096936366.0,2022-01-25
150.70605,-34.055665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096528009.0,1643096528009.0,1643096528009.0,1643096528009.0,1643096528009.0,1643096528009.0,2022-01-25
150.70605,-34.05566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096937223.0,1643096937223.0,1643096937223.0,1643096937223.0,1643096937223.0,1643096937223.0,2022-01-25
150.70607,-34.0557,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,76.0,77.0,8.0,7.0,0.0,0.0,84.0,84.0,1643093516155.0,1643093632313.0,1643093516155.0,1643093519288.0,1643093516155.0,1643093519288.0,2022-01-25
