Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
150.70596,-34.05561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1643096922666.0,1643096925911.0,1643096922666.0,1643096922666.0,1643096922666.0,1643096922666.0,2022-01-25
150.70598,-34.05562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1643096541551.0,1643096928586.0,1643096541551.0,1643096541551.0,1643096541551.0,1643096541551.0,2022-01-25
150.70598,-34.0556175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096533543.0,1643096533543.0,1643096533543.0,1643096533543.0,1643096533543.0,1643096533543.0,2022-01-25
150.70598,-34.0556125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1643096540840.0,1643096927778.0,1643096540840.0,1643096540840.0,1643096540840.0,1643096540840.0,2022-01-25
150.70598,-34.05561,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,5.0,5.0,1643096534508.0,1643096921701.0,1643096538848.0,1643096538848.0,1643096538848.0,1643096538848.0,2022-01-25
150.70599,-34.05563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1643096531689.0,1643096929758.0,1643096531689.0,1643096531689.0,1643096531689.0,1643096531689.0,2022-01-25
150.70599,-34.05562,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,0.0,13.0,13.0,1643096544858.0,1643096918501.0,1643096690761.0,1643096690761.0,1643096690761.0,1643096690761.0,2022-01-25
150.70599,-34.0556175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096920743.0,1643096920743.0,1643096920743.0,1643096920743.0,1643096920743.0,1643096920743.0,2022-01-25
150.706,-34.05562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096679463.0,1643096679463.0,1643096679463.0,1643096679463.0,1643096679463.0,1643096679463.0,2022-01-25
150.70601,-34.05564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096932586.0,1643096932586.0,1643096932586.0,1643096932586.0,1643096932586.0,1643096932586.0,2022-01-25
150.70601,-34.0556325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096931636.0,1643096931636.0,1643096931636.0,1643096931636.0,1643096931636.0,1643096931636.0,2022-01-25
150.70601,-34.05562,2.0,14591.0,5631.11320754717,781.0,2.0,23314.0,6813.867924528302,302.0,201.0,201.0,53.0,53.0,0.0,0.0,254.0,254.0,1643096550508.0,1643096917541.0,1643096802988.0,1643096596926.0,1643096802988.0,1643096596926.0,2022-01-25
150.70602,-34.05565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096934588.0,1643096934588.0,1643096934588.0,1643096934588.0,1643096934588.0,1643096934588.0,2022-01-25
150.70602,-34.0556475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096530783.0,1643096530783.0,1643096530783.0,1643096530783.0,1643096530783.0,1643096530783.0,2022-01-25
150.70603,-34.0556575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096529443.0,1643096529443.0,1643096529443.0,1643096529443.0,1643096529443.0,1643096529443.0,2022-01-25
150.70604,-34.055655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643096935789.0,1643096935789.0,1643096935789.0,1643096935789.0,1643096935789.0,1643096935789.0,2022-01-25
