Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
145.91902,-30.087915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846308259.0,1643846308259.0,1643846308259.0,1643846308259.0,1643846308259.0,1643846308259.0,2022-02-03
145.91903,-30.0878475,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643846310443.0,1643846310443.0,1643846310443.0,1643846310443.0,1643846310443.0,1643846310443.0,2022-02-03
145.91905,-30.0878025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846311428.0,1643846311428.0,1643846311428.0,1643846311428.0,1643846311428.0,1643846311428.0,2022-02-03
145.91906,-30.0879625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846306979.0,1643846306979.0,1643846306979.0,1643846306979.0,1643846306979.0,1643846306979.0,2022-02-03
145.91907,-30.0877425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846313388.0,1643846313388.0,1643846313388.0,1643846313388.0,1643846313388.0,1643846313388.0,2022-02-03
145.91908,-30.087665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846314308.0,1643846314308.0,1643846314308.0,1643846314308.0,1643846314308.0,1643846314308.0,2022-02-03
145.9191,-30.0875975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846316371.0,1643846316371.0,1643846316371.0,1643846316371.0,1643846316371.0,1643846316371.0,2022-02-03
145.91911,-30.08793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846484258.0,1643846484258.0,1643846484258.0,1643846484258.0,1643846484258.0,1643846484258.0,2022-02-03
145.91911,-30.087865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846482019.0,1643846482019.0,1643846482019.0,1643846482019.0,1643846482019.0,1643846482019.0,2022-02-03
145.91911,-30.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846481058.0,1643846481058.0,1643846481058.0,1643846481058.0,1643846481058.0,1643846481058.0,2022-02-03
145.91911,-30.087525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846317495.0,1643846317495.0,1643846317495.0,1643846317495.0,1643846317495.0,1643846317495.0,2022-02-03
145.91911,-30.08745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846318395.0,1643846318395.0,1643846318395.0,1643846318395.0,1643846318395.0,1643846318395.0,2022-02-03
145.91911,-30.08738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846320099.0,1643846320099.0,1643846320099.0,1643846320099.0,1643846320099.0,1643846320099.0,2022-02-03
145.91911,-30.0873125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846321204.0,1643846321204.0,1643846321204.0,1643846321204.0,1643846321204.0,1643846321204.0,2022-02-03
145.91912,-30.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846306019.0,1643846306019.0,1643846306019.0,1643846306019.0,1643846306019.0,1643846306019.0,2022-02-03
145.91913,-30.0879775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846485228.0,1643846485228.0,1643846485228.0,1643846485228.0,1643846485228.0,1643846485228.0,2022-02-03
145.91913,-30.087715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846480230.0,1643846480230.0,1643846480230.0,1643846480230.0,1643846480230.0,1643846480230.0,2022-02-03
145.91914,-30.0872375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846323299.0,1643846323299.0,1643846323299.0,1643846323299.0,1643846323299.0,1643846323299.0,2022-02-03
145.91915,-30.0876175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846478178.0,1643846478178.0,1643846478178.0,1643846478178.0,1643846478178.0,1643846478178.0,2022-02-03
145.91918,-30.0875375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846477230.0,1643846477230.0,1643846477230.0,1643846477230.0,1643846477230.0,1643846477230.0,2022-02-03
145.91918,-30.087185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846324259.0,1643846324259.0,1643846324259.0,1643846324259.0,1643846324259.0,1643846324259.0,2022-02-03
145.9192,-30.0880225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846487138.0,1643846487138.0,1643846487138.0,1643846487138.0,1643846487138.0,1643846487138.0,2022-02-03
145.91921,-30.08803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846304099.0,1643846304099.0,1643846304099.0,1643846304099.0,1643846304099.0,1643846304099.0,2022-02-03
145.91924,-30.087135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846325295.0,1643846325295.0,1643846325295.0,1643846325295.0,1643846325295.0,1643846325295.0,2022-02-03
145.91925,-30.08745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846475298.0,1643846475298.0,1643846475298.0,1643846475298.0,1643846475298.0,1643846475298.0,2022-02-03
145.91926,-30.08709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846327206.0,1643846327206.0,1643846327206.0,1643846327206.0,1643846327206.0,1643846327206.0,2022-02-03
145.91928,-30.08741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846474018.0,1643846474018.0,1643846474018.0,1643846474018.0,1643846474018.0,1643846474018.0,2022-02-03
145.91928,-30.08705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846328099.0,1643846328099.0,1643846328099.0,1643846328099.0,1643846328099.0,1643846328099.0,2022-02-03
