Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
145.91902,-30.0879125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846308344.0,1643846308344.0,1643846308344.0,1643846308344.0,1643846308344.0,1643846308344.0,2022-02-03
145.91902,-30.087865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846310569.0,1643846310569.0,1643846310569.0,1643846310569.0,1643846310569.0,1643846310569.0,2022-02-03
145.91904,-30.087815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846311529.0,1643846311529.0,1643846311529.0,1643846311529.0,1643846311529.0,1643846311529.0,2022-02-03
145.91906,-30.0879625,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1643846307370.0,1643846307370.0,1643846307370.0,1643846307370.0,1643846307370.0,1643846307370.0,2022-02-03
145.91907,-30.0877525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846312544.0,1643846312544.0,1643846312544.0,1643846312544.0,1643846312544.0,1643846312544.0,2022-02-03
145.91908,-30.0876725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846314409.0,1643846314409.0,1643846314409.0,1643846314409.0,1643846314409.0,1643846314409.0,2022-02-03
145.9191,-30.0876075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846315445.0,1643846315445.0,1643846315445.0,1643846315445.0,1643846315445.0,1643846315445.0,2022-02-03
145.91911,-30.087925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846484165.0,1643846484165.0,1643846484165.0,1643846484165.0,1643846484165.0,1643846484165.0,2022-02-03
145.91911,-30.0878525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846482248.0,1643846482248.0,1643846482248.0,1643846482248.0,1643846482248.0,1643846482248.0,2022-02-03
145.91911,-30.087775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846481288.0,1643846481288.0,1643846481288.0,1643846481288.0,1643846481288.0,1643846481288.0,2022-02-03
145.91911,-30.0875325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846317448.0,1643846317448.0,1643846317448.0,1643846317448.0,1643846317448.0,1643846317448.0,2022-02-03
145.91911,-30.087475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846318404.0,1643846318404.0,1643846318404.0,1643846318404.0,1643846318404.0,1643846318404.0,2022-02-03
145.91911,-30.087395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846319500.0,1643846319500.0,1643846319500.0,1643846319500.0,1643846319500.0,1643846319500.0,2022-02-03
145.91911,-30.08732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846321288.0,1643846321288.0,1643846321288.0,1643846321288.0,1643846321288.0,1643846321288.0,2022-02-03
145.91913,-30.08798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846485125.0,1643846485125.0,1643846485125.0,1643846485125.0,1643846485125.0,1643846485125.0,2022-02-03
145.91913,-30.08769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846479365.0,1643846479365.0,1643846479365.0,1643846479365.0,1643846479365.0,1643846479365.0,2022-02-03
145.91913,-30.0872575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846322253.0,1643846322253.0,1643846322253.0,1643846322253.0,1643846322253.0,1643846322253.0,2022-02-03
145.91914,-30.08801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846305444.0,1643846305444.0,1643846305444.0,1643846305444.0,1643846305444.0,1643846305444.0,2022-02-03
145.91915,-30.087615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846478115.0,1643846478115.0,1643846478115.0,1643846478115.0,1643846478115.0,1643846478115.0,2022-02-03
145.91918,-30.088015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846486091.0,1643846486091.0,1643846486091.0,1643846486091.0,1643846486091.0,1643846486091.0,2022-02-03
145.91918,-30.08719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846324168.0,1643846324168.0,1643846324168.0,1643846324168.0,1643846324168.0,1643846324168.0,2022-02-03
145.91919,-30.0875275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846477128.0,1643846477128.0,1643846477128.0,1643846477128.0,1643846477128.0,1643846477128.0,2022-02-03
145.91922,-30.0871475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1643846325449.0,1643846325449.0,1643846325449.0,1643846325449.0,1643846325449.0,1643846325449.0,2022-02-03
