Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
145.91903,-30.0879225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968649878.0,315968649878.0,315968649878.0,315968649878.0,315968649878.0,315968649878.0,2022-02-03
145.91903,-30.0878475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968651800.0,315968651800.0,315968651800.0,315968651800.0,315968651800.0,315968651800.0,2022-02-03
145.91905,-30.0877975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968652444.0,315968652444.0,315968652444.0,315968652444.0,315968652444.0,315968652444.0,2022-02-03
145.91907,-30.0879675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968648605.0,315968648605.0,315968648605.0,315968648605.0,315968648605.0,315968648605.0,2022-02-03
145.91907,-30.08774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968654356.0,315968654356.0,315968654356.0,315968654356.0,315968654356.0,315968654356.0,2022-02-03
145.91908,-30.0876725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968655639.0,315968655639.0,315968655639.0,315968655639.0,315968655639.0,315968655639.0,2022-02-03
145.91909,-30.0876225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968656923.0,315968656923.0,315968656923.0,315968656923.0,315968656923.0,315968656923.0,2022-02-03
145.91911,-30.087925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968825879.0,315968825879.0,315968825879.0,315968825879.0,315968825879.0,315968825879.0,2022-02-03
145.91911,-30.08786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968823318.0,315968823318.0,315968823318.0,315968823318.0,315968823318.0,315968823318.0,2022-02-03
145.91911,-30.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968822674.0,315968822674.0,315968822674.0,315968822674.0,315968822674.0,315968822674.0,2022-02-03
145.91911,-30.08753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968658836.0,315968658836.0,315968658836.0,315968658836.0,315968658836.0,315968658836.0,2022-02-03
145.91911,-30.087455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968659478.0,315968659478.0,315968659478.0,315968659478.0,315968659478.0,315968659478.0,2022-02-03
145.91911,-30.08738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968661399.0,315968661399.0,315968661399.0,315968661399.0,315968661399.0,315968661399.0,2022-02-03
145.91911,-30.0873175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968662686.0,315968662686.0,315968662686.0,315968662686.0,315968662686.0,315968662686.0,2022-02-03
145.91912,-30.0879675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968826519.0,315968826519.0,315968826519.0,315968826519.0,315968826519.0,315968826519.0,2022-02-03
145.91913,-30.088005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968647368.0,315968647368.0,315968647368.0,315968647368.0,315968647368.0,315968647368.0,2022-02-03
145.91913,-30.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968820761.0,315968820761.0,315968820761.0,315968820761.0,315968820761.0,315968820761.0,2022-02-03
145.91913,-30.08725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968663315.0,315968663315.0,315968663315.0,315968663315.0,315968663315.0,315968663315.0,2022-02-03
145.91916,-30.08759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968819781.0,315968819781.0,315968819781.0,315968819781.0,315968819781.0,315968819781.0,2022-02-03
145.91917,-30.0880075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968827796.0,315968827796.0,315968827796.0,315968827796.0,315968827796.0,315968827796.0,2022-02-03
145.91917,-30.087195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968665880.0,315968665880.0,315968665880.0,315968665880.0,315968665880.0,315968665880.0,2022-02-03
145.91919,-30.0875275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968818836.0,315968818836.0,315968818836.0,315968818836.0,315968818836.0,315968818836.0,2022-02-03
145.91922,-30.0880325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968645396.0,315968645396.0,315968645396.0,315968645396.0,315968645396.0,315968645396.0,2022-02-03
145.91923,-30.087135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968666524.0,315968666524.0,315968666524.0,315968666524.0,315968666524.0,315968666524.0,2022-02-03
145.91925,-30.08745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968816279.0,315968816279.0,315968816279.0,315968816279.0,315968816279.0,315968816279.0,2022-02-03
145.91926,-30.0870925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968668438.0,315968668438.0,315968668438.0,315968668438.0,315968668438.0,315968668438.0,2022-02-03
145.91928,-30.088045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,315968829721.0,315968829721.0,315968829721.0,315968829721.0,315968829721.0,315968829721.0,2022-02-03
