Longitude,Latitude,DL_Min,DL_Max,DL_Mean,DL_Median,UL_Min,UL_Max,UL_Mean,UL_Median,Z_DL,Z_UL,NZ_DL,NZ_UL,DL_OR,UL_OR,DL_Total_Count,UL_Total_Count,T1_First_Entry,T2_Last_Entry,T3_DL_Median,T4_UL_Median,T5_DL_Mean,T6_UL_Mean,date
148.55381,-32.07226,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55382,-32.0719275,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55383,-32.0725825,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55384,-32.071595,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55387,-32.072915,222,222,222,222,7961,7961,7961,7961,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.5539,-32.0712525,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55393,-32.07325,200,200,200,200,13270,13270,13270,13270,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55397,-32.0709425,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55399,-32.0735675,203,203,203,203,13274,13274,13274,13274,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55405,-32.0739025,170,170,170,170,10616,10616,10616,10616,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55407,-32.070605,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55411,-32.0742275,196,196,196,196,13270,13270,13270,13270,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55417,-32.0702925,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55418,-32.0745525,229,229,229,229,13271,13271,13271,13271,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55423,-32.0748825,294,294,294,294,17795,17795,17795,17795,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55427,-32.0699575,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55429,-32.0752225,284,284,284,284,15925,15925,15925,15925,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55436,-32.0755375,286,286,286,286,15924,15924,15924,15924,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55436,-32.0696775,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55443,-32.075875,359,359,359,359,18610,18610,18610,18610,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55448,-32.06932,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.5545,-32.076205,267,267,267,267,16619,16619,16619,16619,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55456,-32.069055,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55457,-32.07653,324,324,324,324,14137,14137,14137,14137,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55464,-32.0768675,250,250,250,250,14416,14416,14416,14416,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55468,-32.06871,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55469,-32.0771775,16285,16285,16285,16285,352,352,352,352,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55475,-32.07751,16327,16327,16327,16327,225,225,225,225,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55478,-32.0684025,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55481,-32.0778425,13722,13722,13722,13722,239,239,239,239,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55487,-32.0680925,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55488,-32.0781825,16698,16698,16698,16698,255,255,255,255,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55494,-32.078505,19352,19352,19352,19352,237,237,237,237,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.555,-32.0788325,23011,23011,23011,23011,265,265,265,265,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.555,-32.0677275,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55507,-32.0791525,18535,18535,18535,18535,278,278,278,278,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55509,-32.06743,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
148.55513,-32.0794875,17827,17827,17827,17827,247,247,247,247,0,0,1,1,0,0,1,1,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1.64323E+12,1/27/2022
